OID_,YEAR,PRIMARY_SAMPLE_UNIT,ADMIN,PROT,MAPGRID_NR,STRAT,DEPTH_STRAT,lat,lon,NoTake
12,2025,4013,OPEN,0,341229,AGRFDEEP,DEEP,17.768580000000000,-64.825609999999998,0
13,2025,4014,OPEN,0,383141,AGRFDEEP,DEEP,17.786220000000000,-64.772900000000007,0
14,2025,4015,SARI,0,379869,AGRFDEEP,DEEP,17.785090000000000,-64.759469999999993,0
15,2025,4016,OPEN,0,380965,AGRFDEEP,DEEP,17.785460000000000,-64.761259999999993,0
16,2025,4017,SARI,0,378771,AGRFDEEP,DEEP,17.784579999999998,-64.758480000000006,0
17,2025,4018,OPEN,0,25496,AGRFDEEP,DEEP,17.638710000000000,-64.839780000000005,0
18,2025,4019,OPEN,0,49784,AGRFDEEP,DEEP,17.649120000000000,-64.798199999999994,0
19,2025,4020,OPEN,0,42052,AGRFDEEP,DEEP,17.645830000000000,-64.813559999999995,0
20,2025,4022,OPEN,0,24350,AGRFDEEP,DEEP,17.638140000000000,-64.861210000000000,0
21,2025,4023,OPEN,0,26474,AGRFDEEP,DEEP,17.638890000000000,-64.897149999999996,0
22,2025,4024,OPEN,0,25358,AGRFDEEP,DEEP,17.638220000000000,-64.904660000000007,0
23,2025,4025,OPEN,0,110402,PVMTDEEP,DEEP,17.674469999999999,-64.743129999999994,0
24,2025,4026,OPEN,0,23168,AGRFDEEP,DEEP,17.637339999999998,-64.899749999999997,0
25,2025,4027,OPEN,0,2906904,AGRFDEEP,DEEP,17.635539999999999,-64.867549999999994,0
26,2025,4028,OPEN,0,24367,PVMTDEEP,DEEP,17.638230000000000,-64.853489999999994,0
27,2025,4029,OPEN,0,23206,AGRFDEEP,DEEP,17.637329999999999,-64.882109999999997,0
28,2025,4030,BUIS,0,401044,PVMTSHLW,SHLW,17.794779999999999,-64.629940000000005,0
29,2025,4031,BUIS,0,385681,AGRFSHLW,SHLW,17.788760000000000,-64.612710000000007,0
30,2025,4032,BUIS,0,396659,PTRFSHLW,SHLW,17.792809999999999,-64.622799999999998,0
31,2025,4033,BUIS,0,390066,AGRFSHLW,SHLW,17.790459999999999,-64.619770000000003,0
32,2025,4034,BUIS,0,395557,AGRFSHLW,SHLW,17.792560000000002,-64.623829999999998,0
33,2025,4035,EEMP,0,328469,AGRFSHLW,SHLW,17.765200000000000,-64.617769999999993,1
34,2025,4039,EEMP,0,321904,AGRFSHLW,SHLW,17.762370000000001,-64.601249999999993,0
35,2025,4040,EEMP,0,330651,AGRFSHLW,SHLW,17.765850000000000,-64.626419999999996,1
36,2025,4041,OPEN,0,315075,AGRFSHLW,SHLW,17.758669999999999,-64.709419999999994,0
37,2025,4042,OPEN,0,309578,AGRFSHLW,SHLW,17.756470000000000,-64.707909999999998,0
38,2025,4043,OPEN,0,3051976,SCRSHLW,SHLW,17.757140000000000,-64.716960000000000,0
39,2025,4044,SARI,0,3097375,SCRSHLW,SHLW,17.781929999999999,-64.760189999999994,0
40,2025,4045,SARI,0,369976,AGRFSHLW,SHLW,17.780860000000001,-64.756410000000002,0
41,2025,4049,OPEN,0,133485,PVMTSHLW,SHLW,17.684080000000002,-64.751260000000002,0
42,2025,4050,BUIS,0,385648,BDRKSHLW,SHLW,17.788609999999998,-64.627899999999997,0
43,2025,4052,EEMP,0,310930,BDRKSHLW,SHLW,17.758019999999998,-64.588930000000005,0
44,2025,4054,OPEN,0,320632,SCRSHLW,SHLW,17.761220000000002,-64.682699999999997,0
45,2025,4055,SARI,0,375482,BDRKSHLW,SHLW,17.783370000000001,-64.753630000000001,0
46,2025,4056,SARI,0,377686,BDRKSHLW,SHLW,17.783960000000000,-64.751509999999996,0
47,2025,4057,SARI,0,375482,AGRFSHLW,SHLW,17.783370000000001,-64.753240000000005,0
48,2025,4061,BUIS,0,388990,PTRFDEEP,DEEP,17.789919999999999,-64.608410000000006,0
49,2025,4062,BUIS,0,388999,PTRFDEEP,DEEP,17.789950000000001,-64.603849999999994,0
50,2025,4063,BUIS,0,396693,PTRFDEEP,DEEP,17.792970000000000,-64.606999999999999,0
51,2025,4064,BUIS,0,386799,PTRFDEEP,DEEP,17.789020000000001,-64.604159999999993,0
52,2025,4065,BUIS,0,380215,PTRFDEEP,DEEP,17.786449999999999,-64.596680000000006,0
53,2025,4066,BUIS,0,394479,PTRFDEEP,DEEP,17.792240000000000,-64.613500000000002,0
54,2025,4067,BUIS,0,361520,PTRFDEEP,DEEP,17.778670000000002,-64.594049999999996,0
55,2025,4068,BUIS,0,384598,PTRFDEEP,DEEP,17.788190000000000,-64.604550000000003,0
56,2025,4069,BUIS,0,403267,PTRFDEEP,DEEP,17.795649999999998,-64.619240000000005,0
57,2025,4070,BUIS,0,382414,PTRFDEEP,DEEP,17.787340000000000,-64.597049999999996,0
58,2025,4071,BUIS,0,359296,PTRFDEEP,DEEP,17.777790000000000,-64.605549999999994,0
59,2025,4073,EEMP,0,336169,PTRFDEEP,DEEP,17.768039999999999,-64.618060000000000,0
60,2025,4074,EEMP,0,337267,PTRFDEEP,DEEP,17.768689999999999,-64.618709999999993,0
61,2025,4075,OPEN,0,371629,PTRFDEEP,DEEP,17.783770000000001,-64.495300000000000,0
62,2025,4076,OPEN,0,333092,PTRFDEEP,DEEP,17.767700000000001,-64.512690000000006,0
63,2025,4078,OPEN,0,151234,PVMTDEEP,DEEP,17.691730000000000,-64.681139999999999,0
64,2025,4079,BUIS,0,404392,PTRFSHLW,SHLW,17.796260000000000,-64.607560000000007,0
65,2025,4080,BUIS,0,383500,PTRFSHLW,SHLW,17.787680000000002,-64.603610000000003,0
66,2025,4082,BUIS,0,391221,AGRFSHLW,SHLW,17.790929999999999,-64.593760000000003,0
67,2025,4083,BUIS,0,394473,PTRFSHLW,SHLW,17.792190000000002,-64.616090000000000,0
68,2025,4084,BUIS,0,414248,AGRFSHLW,SHLW,17.799969999999998,-64.628169999999997,0
69,2025,4085,BUIS,0,390081,PTRFSHLW,SHLW,17.790310000000002,-64.612330000000000,0
